id,src,dst,frequency_per_year_2023,distance_km,annual_co2_tonnes_2023
0,ACE,AMS,365.0,3005.9,17554.4
1,ACE,BCN,1095.0,1974.1,34586.7
2,ACE,BHX,2190.0,2790.2,97767.8
3,ACE,BRS,730.0,2654.2,31000.6
4,ACE,CGN,365.0,2989.9,17461.0
5,ACE,DUB,730.0,2786.5,32546.1
6,ACE,DUS,730.0,3006.7,35118.6
7,ACE,EDI,365.0,3110.3,18164.4
8,ACE,FRA,730.0,2996.0,34993.4
9,ACE,GLA,1825.0,3081.2,89971.8
10,ACE,HAM,730.0,3345.8,39079.2
11,ACE,LGW,3285.0,2710.2,142447.8
12,ACE,LPA,730.0,207.5,2423.1
13,ACE,LTN,1095.0,2775.0,48617.4
14,ACE,MAD,1095.0,1574.1,27577.9
15,ACE,MAN,2555.0,2867.0,117202.0
16,ACE,MUC,730.0,3058.0,35717.5
17,ACE,STN,1095.0,2796.0,48986.0
18,ACE,STR,730.0,2931.9,34244.7
19,ACE,TXL,365.0,3427.7,20017.5
20,ACE,ZRH,730.0,2806.4,32778.7
21,ADD,BKK,730.0,6757.8,78931.5
22,ADD,BOM,730.0,3834.7,44789.2
23,ADD,CAI,730.0,2473.5,28891.0
24,ADD,CAN,1095.0,8038.1,140827.1
25,ADD,CDG,365.0,5580.7,32591.4
26,ADD,DEL,730.0,4552.5,53172.8
27,ADD,DOH,365.0,2262.5,13213.1
28,ADD,DXB,1095.0,2519.0,44132.2
29,ADD,FCO,365.0,4481.4,26171.3
30,ADD,FRA,730.0,5348.8,62473.4
31,ADD,HKG,365.0,8106.6,47342.5
32,ADD,IST,365.0,3724.8,21753.1
33,ADD,JED,2190.0,1412.9,49507.4
34,ADD,JNB,730.0,4068.0,47514.3
35,ADD,KWI,730.0,2446.3,28572.7
36,ADD,LHR,365.0,5919.9,34572.5
37,ADD,MCT,730.0,2633.1,30755.1
38,ADD,NBO,1460.0,1163.6,27182.0
39,ADD,PEK,730.0,8329.4,97287.0
40,ADD,PVG,365.0,8830.8,51572.0
41,ADD,RUH,730.0,1964.0,22939.0
42,ADD,TLV,365.0,2592.8,15142.0
43,AGP,AMS,1095.0,1883.7,33001.7
44,AGP,ARN,730.0,3015.8,35224.9
45,AGP,BCN,1095.0,766.0,13419.7
46,AGP,BHX,730.0,1767.7,20646.7
47,AGP,BRS,730.0,1641.5,19172.5
48,AGP,BRU,1825.0,1735.5,50676.0
49,AGP,BUD,365.0,2283.6,13336.3
50,AGP,CDG,1095.0,1485.8,26031.5
51,AGP,CGN,1095.0,1829.1,32045.5
52,AGP,CMN,730.0,463.0,5408.4
53,AGP,CPH,1460.0,2471.5,57735.3
54,AGP,DME,730.0,3793.5,44308.6
55,AGP,DUB,730.0,1867.2,21808.4
56,AGP,DUS,730.0,1853.5,21648.4
57,AGP,EDI,730.0,2145.0,25053.2
58,AGP,FCO,1095.0,1546.8,27100.8
59,AGP,FRA,365.0,1817.2,10612.3
60,AGP,GLA,1095.0,2134.6,37398.4
61,AGP,GVA,730.0,1380.3,16121.9
62,AGP,HAM,1460.0,2191.7,51198.3
63,AGP,HEL,730.0,3352.6,39158.8
64,AGP,IBZ,730.0,570.9,6668.2
65,AGP,IST,365.0,2901.3,16943.5
66,AGP,LGW,2190.0,1645.2,57648.0
67,AGP,LHR,730.0,1675.9,19574.0
68,AGP,LIS,730.0,470.2,5491.7
69,AGP,LPA,730.0,1409.5,16463.5
70,AGP,LTN,1095.0,1721.1,30154.0
71,AGP,LYS,730.0,1284.6,15004.1
72,AGP,MAD,730.0,430.0,5022.2
73,AGP,MAN,1825.0,1862.6,54387.5
74,AGP,MRS,365.0,1116.7,6521.5
75,AGP,MUC,1825.0,1854.9,54164.4
